date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:24	94/94	---M-Z	200	added ('OK')	text/plain	etag:%226560daf14640140a09c80769f7d8f6da-ssl-df%22	https://www.babylonjs.com/robots.txt		(from )
12:44:24	4195/4195	---M-Z	200	added ('OK')	text/html	etag:%22fd0eb3b265159f67d608bb94732639ff-ssl-df%22	https://www.babylonjs.com/demos/watermaterial/	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/www.babylonjs.com/demos/watermaterial/index.html	(from )
12:44:25	12020/12020	---M--	200	added ('OK')	application/ecmascript	date:Tue,%2021%20Nov%202017%2017:42:25%20GMT	http://cdn.webglstats.com/stat.js	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/cdn.webglstats.com/stat.js	(from https://www.babylonjs.com/demos/watermaterial/)
12:44:26	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/www.google-analytics.com/analytics.js	(from https://www.babylonjs.com/demos/watermaterial/)
12:44:27	2948/2948	---M-Z	200	added ('OK')	text/css	etag:1a84f193096626028ef41bc56e9898df2e0d3e9c-df	https://d33wubrfki0l68.cloudfront.net/css/00b7b31c511ce943616fd1c5512819b8fcf13ab6/css/index.css	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/d33wubrfki0l68.cloudfront.net/css/00b7b31c511ce943616fd1c5512819b8fcf13ab6/css/index.css	(from https://www.babylonjs.com/demos/watermaterial/)
12:44:27	17402/17402	---MCZ	200	added ('OK')	application/javascript	etag:W/%22563b6b8d-43fa%22	https://code.jquery.com/pep/0.4.0/pep.min.js	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/code.jquery.com/pep/0.4.0/pep.min.js	(from https://www.babylonjs.com/demos/watermaterial/)
12:44:29	2554/2554	---M-Z	200	added ('OK')	application/javascript	etag:%220cf86575347291863581e30f71f32e4f-ssl-df%22	https://www.babylonjs.com/demos/watermaterial/water.js	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/www.babylonjs.com/demos/watermaterial/water.js	(from https://www.babylonjs.com/demos/watermaterial/)
12:44:29	89/89	---M-Z	200	added ('OK')	application/javascript	etag:%22431a8ec07126e1ab2f3765ec3ecb6eca-ssl-df%22	https://www.babylonjs.com/demos/watermaterial/demo.js	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/www.babylonjs.com/demos/watermaterial/demo.js	(from https://www.babylonjs.com/demos/watermaterial/)
12:44:29	58912/58912	---M-Z	200	added ('OK')	application/javascript	etag:%222f1002526dd2dccb9e427c02c3374bff-ssl-df%22	https://www.babylonjs.com/demos/watermaterial/babylon.waterMaterial.js	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/www.babylonjs.com/demos/watermaterial/babylon.waterMaterial.js	(from https://www.babylonjs.com/demos/watermaterial/)
12:44:35	983/983	---M--	200	added ('OK')	image/png	etag:bf003405d3a8cedb8b9054a0000d7c33dc17bd4c	https://d33wubrfki0l68.cloudfront.net/dcd183b9dc6674b3acb29895c9be9c241e933435/21aa7/assets/camtouchoff.png	D:/PROGRMAS%20%203D/paginas%20d%20escargadas/httpagina/tacho/babilon%20%20agua/d33wubrfki0l68.cloudfront.net/dcd183b9dc6674b3acb29895c9be9c241e933435/21aa7/assets/camtouchoff.png	(from https://www.babylonjs.com/demos/watermaterial/)
